timestamp,Luxembourg_Temperature,Luxembourg_Precipitation,Luxembourg_WindSpeed,Luxembourg_WindDirection
20201030T1300,15.253282,0,29.01743,258.55066
20201030T1400,14.663281,0,22.702845,255.30269
20201030T1500,14.173282,0,22.79684,248.70264
20201030T1600,13.613281,0,22.59699,247.52057
20201030T1700,12.173282,0,17.551615,244.48615
20201030T1800,10.403281,0,14.973577,242.8189
20201030T1900,9.473282,0,13.527572,244.79889
20201030T2000,8.863281,0,12.43434,247.89056
20201030T2100,8.223282,0,10.703569,250.34618
20201030T2200,7.673281,0,9.346143,254.35776
20201030T2300,7.133281,0,9.028754,246.50143
20201031T0000,7.503281,0,7.5942082,238.57043
20201031T0100,7.143281,0,4.8965297,233.97263
20201031T0200,7.333281,0,6.792466,237.99463
20201031T0300,7.673281,0,5.315336,208.30077
20201031T0400,7.193281,0,7.6367526,188.1301
20201031T0500,6.543281,0,7.2359104,174.28941
20201031T0600,6.563281,0,5.95906,154.98311
20201031T0700,6.463281,0,5.95906,154.98311
20201031T0800,6.803281,0,5.8048253,150.25511
20201031T0900,7.603281,0,9.178235,154.44003
20201031T1000,9.143282,0,11.27553,163.30075
20201031T1100,11.1232815,0,12.682018,173.4802
20201031T1200,13.193281,0,16.923828,178.78113
20201031T1300,14.493281,0,18.775301,184.39871
20201031T1400,15.223282,0,21.626984,182.86241
20201031T1500,15.503282,0,22.79684,195.57254
20201031T1600,15.543282,0,21.575987,205.70996
20201031T1700,13.453281,0,16.62249,197.65013
20201031T1800,11.3332815,0,16.279802,198.03429
20201031T1900,11.513282,0,16.92383,203.83875
20201031T2000,12.163281,1.1,22.45315,228.9005
20201031T2100,11.603282,0.3,22.828087,232.04578
20201031T2200,11.563281,0,21.38897,223.63608
20201031T2300,10.733281,0,18.79255,216.43086
20201101T0000,10.913281,0,19.406637,220.48601
20201101T0100,11.383282,0,19.09358,225.7639
20201101T0200,12.353282,0,21.407139,227.72632
20201101T0300,12.523281,0,19.35314,226.50743
20201101T0400,12.703281,0,18.335276,226.59114
20201101T0500,12.923282,0,16.831684,221.53177
20201101T0600,13.013282,0,20.592503,216.46924
20201101T0700,13.113281,0,22.406927,223.69804
20201101T0800,13.343282,0,24.72495,227.95078
20201101T0900,14.173282,0,24.75638,220.8724
20201101T1000,14.323281,0,28.954834,218.4373
20201101T1100,15.613281,0,31.093666,227.81555
20201101T1200,15.363281,0,28.348713,220.36453
20201101T1300,15.323281,0,34.653625,222.47388
20201101T1400,15.483281,0.1,32.682762,220.53284
20201101T1500,15.573281,0.2,31.820824,225.45836
20201101T1600,14.503282,0.3,30.827856,227.36626
20201101T1700,13.853282,0,29.568253,227.96094
20201101T1800,13.703281,0,27.534704,228.17984
20201101T1900,13.483281,0,26.758923,227.72632
20201101T2000,13.253282,0,25.212852,226.7357
20201101T2100,13.453281,0,25.212852,223.2643
20201101T2200,13.8332815,0,26.044699,220.5154
20201101T2300,14.223282,0,26.478971,223.8983
20201102T0000,14.413281,0,27.511158,227.1211
20201102T0100,14.433282,0,28.006056,226.04163
20201102T0200,14.703281,0,27.238943,224.46454
20201102T0300,14.8332815,0,31.569351,225.92404
20201102T0400,15.033281,0,33.697998,229.33232
20201102T0500,15.223282,0,33.696075,233.25253
20201102T0600,15.203281,0,35.069984,234.18884
20201102T0700,15.033281,0,35.141975,232.07355
20201102T0800,15.053282,0,35.309376,230.7928
20201102T0900,15.8332815,0,35.143818,226.66028
20201102T1000,17.08328,0,36.150883,224.19308
20201102T1100,18.123281,0,38.580513,229.92062
20201102T1200,19.023281,0,40.46919,234.04758
20201102T1300,19.63328,0,39.6752,233.85796
20201102T1400,18.90328,0,38.378433,233.77505
20201102T1500,19.15328,0,38.16679,234.21103
20201102T1600,18.76328,0,35.426632,232.43141
20201102T1700,17.853281,0,34.70407,233.01123
20201102T1800,17.51328,0,30.85307,228.31094
20201102T1900,16.51328,0,30.466295,234.61974
20201102T2000,15.3732815,0,30.007679,239.74356
20201102T2100,14.783281,0,38.006863,275.9806
20201102T2200,10.983281,0,26.564486,296.56506
20201102T2300,10.033281,0,24.269983,290.85446
